,SIT,Field1,TEXT
22,"When, for the first time I realized the meaning of death.",fear,"Ketika, untuk pertama kalinya saya menyadari arti kematian."
23,When a car is overtaking another and I am forced to drive off the á road.,anger,Ketika sebuah mobil menyalip mobil lain dan saya dipaksa untuk berkendara keluar dari jalan.
24,"When I recently thought about the hard work it takes to study, and  á how one wants to try something else.  When I read a theoretical á book in English that I did not understand.",sadness,"Ketika saya baru-baru ini memikirkan kerja keras yang diperlukan untuk belajar, dan bagaimana seseorang ingin mencoba sesuatu yang lain. Ketika saya membaca buku teori dalam bahasa Inggris yang saya tidak mengerti."
25,When I found a bristle in the liver paste tube.,disgust,Ketika saya menemukan bulu di tabung pasta hati.
26,"When I was tired and unmotivated, I shouted at my girlfriend and á and brought up negative sides of her character which are actually á not so important.",shame,"Ketika saya lelah dan tidak termotivasi, saya berteriak pada pacar saya dan á dan mengemukakan sisi negatif dari karakternya yang sebenarnya á tidak begitu penting."
27,When I think that I do not study enough.  After the weekend I á think that I should have been able to have accomplished á something during that time.,guilt,Ketika saya berpikir bahwa saya tidak cukup belajar. Setelah akhir pekan saya berpikir bahwa saya seharusnya bisa menyelesaikan sesuatu selama waktu itu.
28,When I pass an examination which I did not think I did well.,joy,Ketika saya lulus ujian yang saya pikir tidak berhasil.
29,"When one has arranged to meet someone and that person arrives á late, in the meantime one starts thinking about all that could á have gone wrong e.g a traffic accident.",fear,"Ketika seseorang telah mengatur untuk bertemu seseorang dan orang itu datang terlambat, sementara itu orang mulai berpikir tentang semua yang bisa salah telah terjadi misalnya kecelakaan lalu lintas."
30,When one is unjustly accused of something one has not done.,anger,Ketika seseorang dituduh secara tidak adil atas sesuatu yang belum dilakukan.
31,When one's studies seem hopelessly difficult and uninteresting.  ,sadness,Ketika studi seseorang tampak sangat sulit dan tidak menarik.
32,"When one finds out that someone you know is not at all like one á had thought, for instance friends who steal and things like that, á quite unwarranted.",disgust,"Ketika seseorang mengetahui bahwa seseorang yang Anda kenal sama sekali tidak seperti yang pernah dipikirkan, misalnya teman-teman yang mencuri dan hal-hal seperti itu, á sangat tidak beralasan."
33,"When one has been unjust, stupid towards someone else. ",shame,"Ketika seseorang tidak adil, bodoh terhadap orang lain."
34,When one has neglected or been unjust to a good friend.,guilt,Ketika seseorang telah mengabaikan atau tidak adil kepada seorang teman baik.
35,Passing an exam I did not expect to pass.,joy,Lulus ujian saya tidak berharap lulus.
36,When I climbed up a tree to pick apples.  The angle of the ladder á I was on did not enable me to get high enough.  This implied á that the ladder was not very stable.,fear,Ketika saya memanjat pohon untuk memetik apel. Sudut tangga á saya berada di tidak memungkinkan saya untuk mendapatkan cukup tinggi. Ini menyiratkan á bahwa tangga itu tidak terlalu stabil.
37,Friends who torture animals.,anger,Teman yang menyiksa binatang.
38,[ Same as in anger.],sadness,[Sama seperti dalam kemarahan.]
39,Friends who torture animals.,disgust,Teman yang menyiksa binatang.
40,[ Same as above - friends who torture animals.],shame,[Sama seperti di atas - teman yang menyiksa binatang.]
41,[ When excuses are necessary and I get out of doing it myself.],guilt,[Ketika alasan diperlukan dan aku keluar dari melakukannya sendiri.]
42,When I had my children.,joy,Ketika saya memiliki anak-anak saya.
43,When my 2 year old son climbed up and sat on the 7th floor á balcony with his legs hanging out.  He was holding on tightly to á the upper railing of the balcony but he could have easily lost á his balance when he sat down.,fear,Ketika putra saya yang berusia 2 tahun memanjat dan duduk di balkon lantai 7 dengan kakinya yang menggantung. Dia memegang erat-erat ke pagar atas balkon tapi dia bisa dengan mudah kehilangan keseimbangan saat dia duduk.
44,When my partner was attacked and lost three teeth.,anger,Ketika pasangan saya diserang dan kehilangan tiga gigi.
45,When I see children on T.V from areas devastated by drought and á war.,sadness,Ketika saya melihat anak-anak di T.V dari daerah yang hancur oleh kekeringan dan perang.
46,When I nearly walked on a blindworm and then saw it crawl away.,disgust,Ketika saya hampir berjalan di atas cacing gelang dan kemudian melihatnya merangkak pergi.
47,When I saw my 18 year old son grab an oxygen mask as he had á breathing difficulties.  I had a bad conscience because I had not á stopped smoking.  Medication for the dilation of his breathing á tubes also caused a sense of guilt in me.,shame,Ketika saya melihat putra saya yang berusia 18 tahun mengambil masker oksigen karena ia mengalami kesulitan bernapas. Saya memiliki hati nurani yang buruk karena saya belum berhenti merokok. Obat untuk pelebaran saluran pernapasannya juga menyebabkan rasa bersalah pada saya.
48,"I experience a sense of guilt as my middle son cannot express á himself like other children, neither verbally nor in writing.",guilt,"Saya mengalami rasa bersalah karena putra saya yang tengah tidak bisa mengekspresikan dirinya seperti anak-anak lain, baik secara lisan maupun tulisan."
49,When my child was born.,joy,Ketika anak saya lahir.
50,"It was winter/spring and the ice was melting.  I was far out on a á jetty and I poked the ice with a long branch to try and break it. á  The branch went through the ice and I fell in, the water closed á in over my head.",fear,"Saat itu musim dingin / musim semi dan es mencair. Saya berada jauh di dermaga dan saya menyodok es dengan cabang panjang untuk mencoba memecahkannya. á Cabang pergi melalui es dan aku jatuh, air menutup á di atas kepalaku."
51,"Unjust accusations directed at me and my way of acting, by á someone close to me.  ",anger,"Tuduhan tidak adil diarahkan pada saya dan cara bertindak saya, oleh seseorang yang dekat dengan saya."
52,Failing an examination.,sadness,Gagal ujian.
53,"A drunkard fell, started bleeding and wet himself.  Disgust that á turned into sadness-unpleasantness.",disgust,"Seorang pemabuk jatuh, mulai berdarah dan membasahi dirinya sendiri. Jijik bahwa á berubah menjadi kesedihan-ketidaknyamanan."
54,"When, as an adult I have been caught lying or behaving badly.",shame,"Ketika, sebagai orang dewasa saya kedapatan berbohong atau berperilaku buruk."
55,"When I am in an environment or with a person much worse off than á me, I realize how privileged I am.",guilt,"Ketika saya berada di lingkungan atau dengan seseorang yang jauh lebih buruk daripada saya, saya menyadari betapa istimewanya saya."
56,When I saw a person I had not seen for a long time.,joy,"Ketika saya melihat seseorang, saya tidak melihat untuk waktu yang lama."
57,"When, as a child, I was nearly knocked down by a car.",fear,"Ketika, sebagai seorang anak, saya hampir dirobohkan oleh sebuah mobil."
58,"When I heard on the radio that the football match in Belgium had á ended in a catastrophe, and several people had died.  I could not á  understand how normal people could behave in such a way.",anger,"Ketika saya mendengar di radio bahwa pertandingan sepak bola di Belgia telah berakhir dengan bencana, dan beberapa orang telah meninggal. Saya tidak bisa mengerti bagaimana orang normal dapat berperilaku sedemikian rupa."
59,"When I feel lonely, perhaps because I have to study a lot and I á am shut up in my appartment.  Nothing happens in particular á because there is no time for anything else.",sadness,"Ketika saya merasa kesepian, mungkin karena saya harus belajar banyak dan saya diam di apartemen saya. Tidak ada yang terjadi secara khusus á karena tidak ada waktu untuk hal lain."
60,When one learns through the mass media all the wars and killing á going on in the world.,disgust,Ketika seseorang belajar melalui media massa semua perang dan pembunuhan terjadi di dunia.
61,"I lied, to be precise I cancelled a meeting with a good friend.",shame,"Saya berbohong, tepatnya saya membatalkan pertemuan dengan teman baik."
62,When one lets friends down,guilt,Ketika seseorang mengecewakan teman-temannya
63,When I was accepted for a course on finance and accounting.,joy,Ketika saya diterima untuk kursus keuangan dan akuntansi.
64,"A bus drove over my right leg.  The event itself was not very á frightening but when I had to wait in the emergency ward for á three hours and then my leg began to swell, I was frightened.",fear,"Sebuah bus melewati kaki kanan saya. Peristiwa itu sendiri tidak terlalu menakutkan tetapi ketika saya harus menunggu di ruang gawat darurat selama tiga jam dan kemudian kaki saya mulai membengkak, saya ketakutan."
65,"At my Summer job, nobody looked after me in particular and I had á to learn all on my own.",anger,"Di pekerjaan musim panas saya, tidak ada yang menjaga saya khususnya dan saya harus belajar sendiri."
66,When I was not accepted as a student in finance and accounting.,sadness,Ketika saya tidak diterima sebagai mahasiswa di bidang keuangan dan akuntansi.
67,When I had just moved into my new appartment I found a ventilator á in the kitchen.  I was going to clean it when I found that the á drum was full of mud and slime.  I felt disgusted.,disgust,"Ketika saya baru saja pindah ke apartemen baru saya, saya menemukan ventilator di dapur. Saya akan membersihkannya ketika saya menemukan bahwa drum itu penuh dengan lumpur dan lendir. Saya merasa jijik."
68,My elder brother and I have not always had a good relationship á and I feel ashamed of myself as I do not call him to talk to him á nowadays.,shame,Kakak lelaki saya dan saya tidak selalu memiliki hubungan yang baik á dan saya merasa malu pada diri saya karena saya tidak memanggilnya untuk berbicara dengannya á saat ini.
69,At my Summer job a new caretaker had been employed who was my age á  but I preferred going out for lunch with the accounts personnel á rather than with him.,guilt,"Di pekerjaan musim panas saya, seorang penjaga baru telah dipekerjakan yang seusia saya á tapi saya lebih suka pergi makan siang dengan personel akun á daripada dengan dia."
70,Passed an exam by 2 points.,joy,Lulus ujian dengan 2 poin.
71,"In a cottage in a large forest, I was alone for a while in the á dark.",fear,"Di sebuah pondok di hutan besar, aku sendirian untuk sementara waktu dalam gelap."
72,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,anger,Ketika saya berbicara dengan Jan-Erik Wikstr on m di telepon.
73,Railway station good-bye.,sadness,Stasiun kereta api selamat tinggal.
74,I saw a cripple in rags with small children in Italy.  He was á probably an imposter.,disgust,Saya melihat orang cacat di lap dengan anak-anak kecil di Italia. Dia mungkin seorang penipu.
75,I told a friend that I was going to a party and he would not á enjoy himself if he came along.  He understood  that he would not á have fitted in and there was something in that.,shame,Saya mengatakan kepada seorang teman bahwa saya akan pergi ke sebuah pesta dan dia tidak akan menikmati dirinya sendiri jika dia datang. Dia mengerti bahwa dia tidak akan cocok dan ada sesuatu di dalamnya.
76,I was the reason behind the break-up of my friend's relationship á with his girlfriend.  She finished with him.,guilt,Saya adalah alasan di balik putusnya hubungan teman saya á dengan pacarnya. Dia selesai dengan dia.
77,I passed an exam that I was absolutely certain that I had failed.,joy,Saya lulus ujian bahwa saya benar-benar yakin bahwa saya telah gagal.
78,"On the way back from Denmark with a friend on a small yatch, á there was a storm and my friend was blown overboard;  I was very á scared till I managed to get him back onboard.",fear,"Dalam perjalanan kembali dari Denmark dengan seorang teman di kapal pesiar kecil, á ada badai dan teman saya diterbangkan ke laut; Saya sangat takut sampai saya berhasil membawanya kembali."
79,I locked myself out.,anger,Saya mengunci diri.
80,I missed the last tram home and had to walk in the pouring rain.,sadness,Saya ketinggalan trem terakhir dan harus berjalan di bawah guyuran hujan.
81,I found some worms in the food and I had obviously eaten some.,disgust,Saya menemukan beberapa cacing dalam makanan dan saya jelas telah memakannya.
82,"My friend was so intoxicated that the police came and took him á away, and they later contacted his parents.",shame,"Teman saya sangat mabuk sehingga polisi datang dan membawanya pergi, dan mereka kemudian menghubungi orang tuanya."
83,I hapened to overhear something which I was not meant to hear.,guilt,Saya kebetulan mendengar sesuatu yang tidak seharusnya saya dengar.
84,When I won a trip to Greece in a competition.,joy,Ketika saya memenangkan perjalanan ke Yunani dalam sebuah kompetisi.
85,When I am out in the dark and a suspicious looking character á comes towards me.,fear,Ketika saya keluar dalam gelap dan karakter yang tampak mencurigakan á mendatangi saya.
86,"At work, when an elderly man complained unjustifiably about me and á distrusted me.",anger,"Di tempat kerja, ketika seorang lelaki tua mengeluh secara tidak adil tentang saya dan saya tidak percaya."
87,When I had not understood anything after a lecture.,sadness,Ketika saya tidak mengerti apa-apa setelah kuliah.
88,When an alcoholic stood dribbling over a food counter.,disgust,Ketika seorang pecandu alkohol berdiri menggiring bola di atas meja makanan.
89,When my friend and I were discussing the good looks of a guy we á realized that he had been listening.,shame,"Ketika teman saya dan saya sedang membahas tentang ketampanan seorang lelaki, kami menyadari bahwa ia telah mendengarkan."
90,When I complained about a colleague to the manager and he told á her that someone had complained; this colleague came to me á believing that I liked her.,guilt,Ketika saya mengeluh tentang seorang kolega ke manajer dan dia mengatakan kepadanya bahwa seseorang telah mengeluh; kolega ini mendatangi saya - percaya bahwa saya menyukainya.
91,At a friend's birthday party with some of my closest friends.  It á was all very pleasant and one could say that I was happy to have á such good friends.,joy,Di pesta ulang tahun seorang teman dengan beberapa teman terdekat saya. Itu semua sangat menyenangkan dan bisa dikatakan bahwa saya senang memiliki teman yang begitu baik.
92,On the way home one Friday night in the heavy rain the car á acquaplanned.  I lost contact with the road surface for a few á seconds.,fear,"Dalam perjalanan pulang pada suatu Jumat malam di tengah hujan lebat, mobil itu diberitahukan. Saya kehilangan kontak dengan permukaan jalan selama beberapa detik."
93,Mad at my dad.,anger,Marah pada ayah saya.
94,A case of unrequited love.,sadness,Kasus cinta tak berbalas.
95,A bad smelling cucumber.,disgust,Mentimun yang berbau tidak enak.
96,Nearly caught masturbating.,shame,Nyaris ketahuan sedang masturbasi.
97,I do not help out enough at home.,guilt,Saya tidak cukup membantu di rumah.
98,I felt very happy when I won the football pools.,joy,Saya merasa sangat senang ketika saya memenangkan kolam sepakbola.
99,When I flew from Athens to Copenhagen after a holiday.  The plane á was caught in a storm and it began to shake and I thouhght that á we were going to crash.,fear,Ketika saya terbang dari Athena ke Kopenhagen setelah liburan. Pesawat á terjebak dalam badai dan mulai bergetar dan saya pikir á kami akan jatuh.
100,When someone stole my bike.,anger,Ketika seseorang mencuri sepedaku.
101,"When I saw the list of books to read for an acccouting course, I á thought \ Oh God how will I ever manaage it!\""""",sadness,"Ketika saya melihat daftar buku untuk dibaca untuk kursus akuntansi, saya pikir \ Ya Tuhan bagaimana saya bisa mengaturnya! \ """""
102,It was when I read a newspaper article on the future and they á foresaw that we would be eating frog-burgers by the year 2000.  á An illustration showed a frog between two pieces of bread.,disgust,Itu ketika saya membaca artikel surat kabar tentang masa depan dan mereka tahu bahwa kita akan makan burger katak pada tahun 2000. á Sebuah ilustrasi menunjukkan seekor katak di antara dua potong roti.
103,When I dropped a bottle in the state liquor store and everyboby á started laughing.,shame,Ketika saya menjatuhkan botol di toko minuman keras negara dan semua orang mulai tertawa.
104,"When I was young - 14, I pinched from a store and was caught.  á The store then contacted my parents.",guilt,"Ketika saya masih muda - 14, saya mencubit dari sebuah toko dan tertangkap. á Toko itu kemudian menghubungi orang tua saya."
105,When the whole family gets together for a one week holiday.  á Everybody feels free and the trip is well planned.  It works out á well and we enjoy ourselves.,joy,Ketika seluruh keluarga berkumpul untuk liburan satu minggu. → Semua orang merasa bebas dan perjalanan ini direncanakan dengan baik. Itu bekerja dengan baik dan kami menikmati diri kami sendiri.
106,"When I could not find my 2 year old daughter.  I ran and looked á for her everywhere and could not find her.  (I finally found her, á she had gone to bed to sleep)",fear,"Ketika saya tidak dapat menemukan anak perempuan saya yang berumur 2 tahun. Saya berlari dan mencari dia di mana-mana dan tidak dapat menemukannya. (Saya akhirnya menemukannya, á dia pergi tidur untuk tidur)"
107,When friends try to put me down or hurt me.  ,anger,Ketika teman mencoba menjatuhkan saya atau menyakiti saya.
108,Marriage crises.  Boredom.,sadness,Krisis pernikahan. Kebosanan.
109,When someone makes advances that one does not want.,disgust,Ketika seseorang membuat kemajuan yang tidak diinginkannya.
110,The discovery that one has only thought of oneself.,shame,Penemuan bahwa seseorang hanya memikirkan diri sendiri.
111,When I spanked a child in anger and later regretted it terribly.,guilt,Ketika saya memukul seorang anak dalam kemarahan dan kemudian sangat menyesalinya.
112,When I passed the first examination that I had to repeat.,joy,Ketika saya lulus ujian pertama yang harus saya ulangi.
113,When I drove to Stockholm for the first time and drove off the á Stora Hissingen road at the wrong exit.,fear,Ketika saya berkendara ke Stockholm untuk pertama kalinya dan pergi dari jalan Stora Hissingen di pintu keluar yang salah.
114,When my boyfriend went away for a month long holiday without me.,anger,Ketika pacar saya pergi untuk liburan selama sebulan tanpa saya.
115,Last year when I worked during the Summer holidays and studied á at the same time for an examination I had to repeat; my boyfriend á went to Greece for a holiday for a month.,sadness,Tahun lalu ketika saya bekerja selama liburan musim panas dan belajar pada waktu yang sama untuk ujian yang harus saya ulangi; pacarku á pergi ke Yunani untuk liburan selama sebulan.
116,When a dog is left whining outside a shop.,disgust,Ketika seekor anjing ditinggalkan merengek di luar toko.
117,When I promised to help a friend over a weekend and did not keep á the promise.,shame,Ketika saya berjanji untuk membantu teman selama akhir pekan dan tidak menepati janji.
118,When I realized that I had three more examinations to take.,guilt,Ketika saya menyadari bahwa saya harus menjalani tiga pemeriksaan lagi.
119,The day I was told that I had been accepted as a student of á economics.,joy,Pada hari saya diberitahu bahwa saya telah diterima sebagai mahasiswa ekonomi.
120,"While taking a short cut through the Vasa park, I was surrounded á by three people who tried to steal my money.  I was scared and á was saved only by the appearance of other people.",fear,"Saat mengambil jalan pintas melalui taman Vasa, saya dikelilingi oleh tiga orang yang mencoba mencuri uang saya. Saya takut dan á diselamatkan hanya oleh penampilan orang lain."
121,"At a restaurant I observed how the gypsies tried to get money by á cheating the foreigners i.e non Swedish speaking.  My anger had á nothing to do with hatred against foreigners, but it was an á expression of the anger I feel when I see people being used .",anger,"Di sebuah restoran, saya mengamati bagaimana para gipsi berusaha mendapatkan uang dengan cara menipu orang-orang asing yang bukan orang Swedia. Kemarahan saya tidak ada hubungannya dengan kebencian terhadap orang asing, tetapi itu adalah ekspresi kemarahan yang saya rasakan ketika saya melihat orang-orang digunakan."
122,At the begining of a new course one is afraid of encountering á problems one can not manage.  Thoughts revolve around failing á the subject and the consequences it would have for the future.,sadness,Pada awal kursus baru seseorang takut bertemu dengan masalah yang tidak bisa dikelola. Pikiran berputar di sekitar kegagalan subjek dan konsekuensi yang akan terjadi di masa depan.
123,While walking in town I noticed how the police harrassed a man á who was under the influence of alcohol.  They terrified him with á the thought of arrest by driving close behind him on a pedestrian á street.  My disgust was directed at the gestures and the facial á expressions of the policemen; they seemed to be enjoying á themselves.,disgust,Sambil berjalan di kota saya perhatikan bagaimana polisi melecehkan seorang pria á yang berada di bawah pengaruh alkohol. Mereka membuatnya takut dengan á pikiran penangkapan dengan mengemudi di belakangnya di jalan pejalan kaki á. Rasa jijik saya diarahkan pada gerakan dan ekspresi wajah para polisi; mereka tampaknya menikmati diri mereka sendiri.
124,"When my boyfriend revealed that he knew that I had discovered á things of an important nature about him, I felt ashamed as I had á not mentioned it earlier.",shame,"Ketika pacar saya mengungkapkan bahwa dia tahu saya telah menemukan hal-hal yang penting tentang dirinya, saya merasa malu karena saya belum menyebutkannya sebelumnya."
125,"When I am dishonest to a friend to whom I am very close.  I á feel guilty because I know that he gives a different version of á the truth and I have not corrected these mistakes, and he is á aware that I know that they are wrong.",guilt,"Ketika saya tidak jujur ​​kepada seorang teman yang sangat dekat dengan saya. Saya merasa bersalah karena saya tahu bahwa dia memberikan versi kebenaran yang berbeda dan saya belum memperbaiki kesalahan ini, dan dia sadar bahwa saya tahu mereka salah."
126,When I found out that I had passed the last two exams by a á margin of three marks.,joy,Ketika saya mengetahui bahwa saya telah lulus dua ujian terakhir dengan selisih tiga nilai.
127,When my father was ill and was waiting for the results of his tests.,fear,Ketika ayah saya sakit dan sedang menunggu hasil tesnya.
128,When I got caught in the pouring rain last Thursday and did not á have a raincoat on me.,anger,Ketika saya terjebak dalam hujan lebat Kamis lalu dan tidak memiliki jas hujan pada saya.
129,When I failed an exam.,sadness,Ketika saya gagal ujian.
130,"At a Sm÷rgasbord table, a man mixed differnet kinds of picked á herrings with fruit salad.",disgust,"Di meja Smorgasbord, seorang pria mencampurkan berbagai jenis ikan haring pilihan dengan salad buah."
131,"When I had not prepared my contribution to the group as á thoroughly as the other members, with the result that the á overall result was poor.",shame,"Ketika saya belum menyiapkan kontribusi saya kepada kelompok sebagai menyeluruh seperti anggota lainnya, dengan hasil bahwa hasil keseluruhan miskin."
132,"When my father and I worked on the house just after he had á recovered from illness, I was rather lazy.  This meant that he á had to work hard and was not very well later.",guilt,"Ketika ayah saya dan saya bekerja di rumah tepat setelah ia sembuh dari sakit, saya agak malas. Ini berarti bahwa dia harus bekerja keras dan tidak terlalu baik nantinya."
133,When I gave birth to my son and saw that he was alive and that I á had managed it well.  He was born a month too early with a á malfunctioning lung.  This happened a year ago.,joy,Ketika saya melahirkan putra saya dan melihat bahwa dia masih hidup dan saya telah berhasil dengan baik. Ia lahir sebulan terlalu dini dengan paru-paru yang rusak. Ini terjadi setahun yang lalu.
134,When I found out that my father had lung cancer and they did not á know how long he would live.,fear,Ketika saya mengetahui bahwa ayah saya menderita kanker paru-paru dan mereka tidak tahu berapa lama dia akan hidup.
135,"When a colleague asked me for help at work, despite the fact á that he had more time to do it than I had.",anger,"Ketika seorang kolega meminta bantuan kepada saya di tempat kerja, terlepas dari kenyataan bahwa dia memiliki lebih banyak waktu untuk melakukannya daripada saya."
136,When I did not get the salary increase that I had been expecting á and understood how little one's work was appreciated.,sadness,Ketika saya tidak mendapatkan kenaikan gaji yang saya harapkan á dan mengerti betapa kecilnya pekerjaan seseorang dihargai.
137,When I was weeding the garden I found a lizard in my hand.,disgust,Ketika saya menyiangi kebun saya menemukan seekor kadal di tangan saya.
138,"When I met a friend whom I had not seen for a long time and á heard all about her troubles, I thought that I should have got á in touch with her earlier.",shame,"Ketika saya bertemu dengan seorang teman yang sudah lama saya tidak bertemu dan á mendengar semua tentang masalahnya, saya berpikir bahwa saya harus menghubungi á sebelumnya."
139,I got angry at my mother for something trivial.  We were in a á bad mood because my father was very ill and I knew that my mother á really needed support.  I had reacted wrongly.,guilt,Saya marah pada ibu saya karena sesuatu yang sepele. Kami berada dalam suasana hati yang buruk karena ayah saya sangat sakit dan saya tahu bahwa ibu saya benar-benar membutuhkan dukungan. Saya bereaksi salah.
140,"New year's eve 1983/1984, I met my girlfriend.  We stood on the á steps outside her parents home and I kissed her for the á first time.",joy,"Malam tahun baru 1983/1984, saya bertemu pacar saya. Kami berdiri di tangga á di luar rumah orang tuanya dan aku menciumnya untuk pertama kalinya."
141,"When I was stopped by plain clothes policemen because the car I á was driving had overturned on the Avenue.  I had been driving too á fast, and I was afraid when I was stopped, questionned and then á toild to go.  The situation ended happily since there were no á consequences.",fear,"Ketika saya dihentikan oleh polisi pakaian biasa karena mobil yang saya kendarai telah terbalik di Avenue. Saya telah mengemudi terlalu cepat, dan saya takut ketika saya berhenti, ditanyai dan kemudian pergi untuk pergi. Situasi berakhir dengan bahagia karena tidak ada konsekuensi."
142,The editor changed the heading of an article that I had written.  á He considered the heading to be derogatory towards the person I had written á about.,anger,Editor mengubah judul artikel yang saya tulis. á Dia menganggap judul itu menghina orang yang telah kutulis á.
143,"A close acquaintance of the family died of lung cancer.  á Although it was expected, I still felt depressed.",sadness,"Seorang kenalan dekat keluarga itu meninggal karena kanker paru-paru. Although Meskipun sudah diduga, saya masih merasa tertekan."
144,"When I saw a picture, in the Gothenburg Post, of a totally á demolished car with two fatally injured passengers.  The car was á so badly damaged that they couldn't get the bodies out at the á scene of the accident.",disgust,"Ketika saya melihat gambar, di Gothenburg Post, tentang mobil yang benar-benar hancur dengan dua penumpang yang terluka parah. Mobil itu á rusak parah sehingga mereka tidak bisa mengeluarkan mayat-mayat itu di lokasi kecelakaan."
145,One night I had a sexual intercourse with another man.  My sexual á desire and my curiosity had made me jump into bed with him.  I am á ashamed of myself now.,shame,Suatu malam saya melakukan hubungan seksual dengan pria lain. Hasrat seksual saya dan keingintahuan saya telah membuat saya melompat ke ranjang dengannya. Saya malu pada diri saya sendiri sekarang.
146,"Due to laziness, I failed the term studies completely at á University.  I also wanted, to some extent, to protest against my á parents' expectations.",guilt,"Karena malas, saya gagal menyelesaikan studi istilah sepenuhnya di Universitas. Saya juga ingin, sampai batas tertentu, memprotes harapan á orang tua saya."
147,When I got the loan for my studies.,joy,Ketika saya mendapat pinjaman untuk studi saya.
