,TEXT,LABEL
32,"ketika seseorang mengetahui bahwa seseorang yang anda kenal sama sekali tidak seperti yang pernah dipikirkan, misalnya teman-teman yang mencuri dan hal-hal seperti itu, á sangat tidak beralasan.",disgust
33,"ketika seseorang tidak adil, bodoh terhadap orang lain.",shame
34,ketika seseorang telah mengabaikan atau tidak adil kepada seorang teman baik.,guilt
35,lulus ujian saya tidak berharap lulus.,joy
36,ketika saya memanjat pohon untuk memetik apel. sudut tangga á saya berada di tidak memungkinkan saya untuk mendapatkan cukup tinggi. ini menyiratkan á bahwa tangga itu tidak terlalu stabil.,fear
37,teman yang menyiksa binatang.,anger
42,ketika saya memiliki anak-anak saya.,joy
43,ketika putra saya yang berusia 2 tahun memanjat dan duduk di balkon lantai 7 dengan kakinya yang menggantung. dia memegang erat-erat ke pagar atas balkon tapi dia bisa dengan mudah kehilangan keseimbangan saat dia duduk.,fear
44,ketika pasangan saya diserang dan kehilangan tiga gigi.,anger
45,ketika saya melihat anak-anak di t.v dari daerah yang hancur oleh kekeringan dan perang.,sadness
46,ketika saya hampir berjalan di atas cacing gelang dan kemudian melihatnya merangkak pergi.,disgust
47,ketika saya melihat putra saya yang berusia 18 tahun mengambil masker oksigen karena ia mengalami kesulitan bernapas. saya memiliki hati nurani yang buruk karena saya belum berhenti merokok. obat untuk pelebaran saluran pernapasannya juga menyebabkan rasa bersalah pada saya.,shame
48,"saya mengalami rasa bersalah karena putra saya yang tengah tidak bisa mengekspresikan dirinya seperti anak-anak lain, baik secara lisan maupun tulisan.",guilt
49,ketika anak saya lahir.,joy
50,"saat itu musim dingin / musim semi dan es mencair. saya berada jauh di dermaga dan saya menyodok es dengan cabang panjang untuk mencoba memecahkannya. á cabang pergi melalui es dan aku jatuh, air menutup á di atas kepalaku.",fear
51,"tuduhan tidak adil diarahkan pada saya dan cara bertindak saya, oleh seseorang yang dekat dengan saya.",anger
52,gagal ujian.,sadness
53,"seorang pemabuk jatuh, mulai berdarah dan membasahi dirinya sendiri. jijik bahwa á berubah menjadi kesedihan-ketidaknyamanan.",disgust
54,"ketika, sebagai orang dewasa saya kedapatan berbohong atau berperilaku buruk.",shame
55,"ketika saya berada di lingkungan atau dengan seseorang yang jauh lebih buruk daripada saya, saya menyadari betapa istimewanya saya.",guilt
56,"ketika saya melihat seseorang, saya tidak melihat untuk waktu yang lama.",joy
57,"ketika, sebagai seorang anak, saya hampir dirobohkan oleh sebuah mobil.",fear
58,"ketika saya mendengar di radio bahwa pertandingan sepak bola di belgia telah berakhir dengan bencana, dan beberapa orang telah meninggal. saya tidak bisa mengerti bagaimana orang normal dapat berperilaku sedemikian rupa.",anger
59,"ketika saya merasa kesepian, mungkin karena saya harus belajar banyak dan saya diam di apartemen saya. tidak ada yang terjadi secara khusus á karena tidak ada waktu untuk hal lain.",sadness
60,ketika seseorang belajar melalui media massa semua perang dan pembunuhan terjadi di dunia.,disgust
61,"saya berbohong, tepatnya saya membatalkan pertemuan dengan teman baik.",shame
62,ketika seseorang mengecewakan teman-temannya,guilt
63,ketika saya diterima untuk kursus keuangan dan akuntansi.,joy
64,"sebuah bus melewati kaki kanan saya. peristiwa itu sendiri tidak terlalu menakutkan tetapi ketika saya harus menunggu di ruang gawat darurat selama tiga jam dan kemudian kaki saya mulai membengkak, saya ketakutan.",fear
65,"di pekerjaan musim panas saya, tidak ada yang menjaga saya khususnya dan saya harus belajar sendiri.",anger
66,ketika saya tidak diterima sebagai mahasiswa di bidang keuangan dan akuntansi.,sadness
67,"ketika saya baru saja pindah ke apartemen baru saya, saya menemukan ventilator di dapur. saya akan membersihkannya ketika saya menemukan bahwa drum itu penuh dengan lumpur dan lendir. saya merasa jijik.",disgust
68,kakak lelaki saya dan saya tidak selalu memiliki hubungan yang baik á dan saya merasa malu pada diri saya karena saya tidak memanggilnya untuk berbicara dengannya á saat ini.,shame
69,"di pekerjaan musim panas saya, seorang penjaga baru telah dipekerjakan yang seusia saya á tapi saya lebih suka pergi makan siang dengan personel akun á daripada dengan dia.",guilt
70,lulus ujian dengan 2 poin.,joy
71,"di sebuah pondok di hutan besar, aku sendirian untuk sementara waktu dalam gelap.",fear
72,ketika saya berbicara dengan jan-erik wikstr on m di telepon.,anger
73,stasiun kereta api selamat tinggal.,sadness
74,saya melihat orang cacat di lap dengan anak-anak kecil di italia. dia mungkin seorang penipu.,disgust
75,saya mengatakan kepada seorang teman bahwa saya akan pergi ke sebuah pesta dan dia tidak akan menikmati dirinya sendiri jika dia datang. dia mengerti bahwa dia tidak akan cocok dan ada sesuatu di dalamnya.,shame
76,saya adalah alasan di balik putusnya hubungan teman saya á dengan pacarnya. dia selesai dengan dia.,guilt
77,saya lulus ujian bahwa saya benar-benar yakin bahwa saya telah gagal.,joy
78,"dalam perjalanan kembali dari denmark dengan seorang teman di kapal pesiar kecil, á ada badai dan teman saya diterbangkan ke laut; saya sangat takut sampai saya berhasil membawanya kembali.",fear
79,saya mengunci diri.,anger
80,saya ketinggalan trem terakhir dan harus berjalan di bawah guyuran hujan.,sadness
81,saya menemukan beberapa cacing dalam makanan dan saya jelas telah memakannya.,disgust
82,"teman saya sangat mabuk sehingga polisi datang dan membawanya pergi, dan mereka kemudian menghubungi orang tuanya.",shame
83,saya kebetulan mendengar sesuatu yang tidak seharusnya saya dengar.,guilt
84,ketika saya memenangkan perjalanan ke yunani dalam sebuah kompetisi.,joy
85,ketika saya keluar dalam gelap dan karakter yang tampak mencurigakan á mendatangi saya.,fear
86,"di tempat kerja, ketika seorang lelaki tua mengeluh secara tidak adil tentang saya dan saya tidak percaya.",anger
87,ketika saya tidak mengerti apa-apa setelah kuliah.,sadness
88,ketika seorang pecandu alkohol berdiri menggiring bola di atas meja makanan.,disgust
89,"ketika teman saya dan saya sedang membahas tentang ketampanan seorang lelaki, kami menyadari bahwa ia telah mendengarkan.",shame
90,ketika saya mengeluh tentang seorang kolega ke manajer dan dia mengatakan kepadanya bahwa seseorang telah mengeluh; kolega ini mendatangi saya - percaya bahwa saya menyukainya.,guilt
91,di pesta ulang tahun seorang teman dengan beberapa teman terdekat saya. itu semua sangat menyenangkan dan bisa dikatakan bahwa saya senang memiliki teman yang begitu baik.,joy
92,"dalam perjalanan pulang pada suatu jumat malam di tengah hujan lebat, mobil itu diberitahukan. saya kehilangan kontak dengan permukaan jalan selama beberapa detik.",fear
93,marah pada ayah saya.,anger
94,kasus cinta tak berbalas.,sadness
95,mentimun yang berbau tidak enak.,disgust
96,nyaris ketahuan sedang masturbasi.,shame
97,saya tidak cukup membantu di rumah.,guilt
98,saya merasa sangat senang ketika saya memenangkan kolam sepakbola.,joy
99,ketika saya terbang dari athena ke kopenhagen setelah liburan. pesawat á terjebak dalam badai dan mulai bergetar dan saya pikir á kami akan jatuh.,fear
100,ketika seseorang mencuri sepedaku.,anger
101,"ketika saya melihat daftar buku untuk dibaca untuk kursus akuntansi, saya pikir \ ya tuhan bagaimana saya bisa mengaturnya! \ """"",sadness
102,itu ketika saya membaca artikel surat kabar tentang masa depan dan mereka tahu bahwa kita akan makan burger katak pada tahun 2000. á sebuah ilustrasi menunjukkan seekor katak di antara dua potong roti.,disgust
103,ketika saya menjatuhkan botol di toko minuman keras negara dan semua orang mulai tertawa.,shame
104,"ketika saya masih muda - 14, saya mencubit dari sebuah toko dan tertangkap. á toko itu kemudian menghubungi orang tua saya.",guilt
105,ketika seluruh keluarga berkumpul untuk liburan satu minggu. → semua orang merasa bebas dan perjalanan ini direncanakan dengan baik. itu bekerja dengan baik dan kami menikmati diri kami sendiri.,joy
106,"ketika saya tidak dapat menemukan anak perempuan saya yang berumur 2 tahun. saya berlari dan mencari dia di mana-mana dan tidak dapat menemukannya. (saya akhirnya menemukannya, á dia pergi tidur untuk tidur)",fear
107,ketika teman mencoba menjatuhkan saya atau menyakiti saya.,anger
108,krisis pernikahan. kebosanan.,sadness
109,ketika seseorang membuat kemajuan yang tidak diinginkannya.,disgust
110,penemuan bahwa seseorang hanya memikirkan diri sendiri.,shame
111,ketika saya memukul seorang anak dalam kemarahan dan kemudian sangat menyesalinya.,guilt
112,ketika saya lulus ujian pertama yang harus saya ulangi.,joy
113,ketika saya berkendara ke stockholm untuk pertama kalinya dan pergi dari jalan stora hissingen di pintu keluar yang salah.,fear
114,ketika pacar saya pergi untuk liburan selama sebulan tanpa saya.,anger
115,tahun lalu ketika saya bekerja selama liburan musim panas dan belajar pada waktu yang sama untuk ujian yang harus saya ulangi; pacarku á pergi ke yunani untuk liburan selama sebulan.,sadness
116,ketika seekor anjing ditinggalkan merengek di luar toko.,disgust
117,ketika saya berjanji untuk membantu teman selama akhir pekan dan tidak menepati janji.,shame
118,ketika saya menyadari bahwa saya harus menjalani tiga pemeriksaan lagi.,guilt
119,pada hari saya diberitahu bahwa saya telah diterima sebagai mahasiswa ekonomi.,joy
120,"saat mengambil jalan pintas melalui taman vasa, saya dikelilingi oleh tiga orang yang mencoba mencuri uang saya. saya takut dan á diselamatkan hanya oleh penampilan orang lain.",fear
121,"di sebuah restoran, saya mengamati bagaimana para gipsi berusaha mendapatkan uang dengan cara menipu orang-orang asing yang bukan orang swedia. kemarahan saya tidak ada hubungannya dengan kebencian terhadap orang asing, tetapi itu adalah ekspresi kemarahan yang saya rasakan ketika saya melihat orang-orang digunakan.",anger
122,pada awal kursus baru seseorang takut bertemu dengan masalah yang tidak bisa dikelola. pikiran berputar di sekitar kegagalan subjek dan konsekuensi yang akan terjadi di masa depan.,sadness
123,sambil berjalan di kota saya perhatikan bagaimana polisi melecehkan seorang pria á yang berada di bawah pengaruh alkohol. mereka membuatnya takut dengan á pikiran penangkapan dengan mengemudi di belakangnya di jalan pejalan kaki á. rasa jijik saya diarahkan pada gerakan dan ekspresi wajah para polisi; mereka tampaknya menikmati diri mereka sendiri.,disgust
124,"ketika pacar saya mengungkapkan bahwa dia tahu saya telah menemukan hal-hal yang penting tentang dirinya, saya merasa malu karena saya belum menyebutkannya sebelumnya.",shame
125,"ketika saya tidak jujur ​​kepada seorang teman yang sangat dekat dengan saya. saya merasa bersalah karena saya tahu bahwa dia memberikan versi kebenaran yang berbeda dan saya belum memperbaiki kesalahan ini, dan dia sadar bahwa saya tahu mereka salah.",guilt
126,ketika saya mengetahui bahwa saya telah lulus dua ujian terakhir dengan selisih tiga nilai.,joy
127,ketika ayah saya sakit dan sedang menunggu hasil tesnya.,fear
128,ketika saya terjebak dalam hujan lebat kamis lalu dan tidak memiliki jas hujan pada saya.,anger
129,ketika saya gagal ujian.,sadness
130,"di meja smorgasbord, seorang pria mencampurkan berbagai jenis ikan haring pilihan dengan salad buah.",disgust
131,"ketika saya belum menyiapkan kontribusi saya kepada kelompok sebagai menyeluruh seperti anggota lainnya, dengan hasil bahwa hasil keseluruhan miskin.",shame
132,"ketika ayah saya dan saya bekerja di rumah tepat setelah ia sembuh dari sakit, saya agak malas. ini berarti bahwa dia harus bekerja keras dan tidak terlalu baik nantinya.",guilt
133,ketika saya melahirkan putra saya dan melihat bahwa dia masih hidup dan saya telah berhasil dengan baik. ia lahir sebulan terlalu dini dengan paru-paru yang rusak. ini terjadi setahun yang lalu.,joy
134,ketika saya mengetahui bahwa ayah saya menderita kanker paru-paru dan mereka tidak tahu berapa lama dia akan hidup.,fear
135,"ketika seorang kolega meminta bantuan kepada saya di tempat kerja, terlepas dari kenyataan bahwa dia memiliki lebih banyak waktu untuk melakukannya daripada saya.",anger
136,ketika saya tidak mendapatkan kenaikan gaji yang saya harapkan á dan mengerti betapa kecilnya pekerjaan seseorang dihargai.,sadness
137,ketika saya menyiangi kebun saya menemukan seekor kadal di tangan saya.,disgust
138,"ketika saya bertemu dengan seorang teman yang sudah lama saya tidak bertemu dan á mendengar semua tentang masalahnya, saya berpikir bahwa saya harus menghubungi á sebelumnya.",shame
139,saya marah pada ibu saya karena sesuatu yang sepele. kami berada dalam suasana hati yang buruk karena ayah saya sangat sakit dan saya tahu bahwa ibu saya benar-benar membutuhkan dukungan. saya bereaksi salah.,guilt
140,"malam tahun baru 1983/1984, saya bertemu pacar saya. kami berdiri di tangga á di luar rumah orang tuanya dan aku menciumnya untuk pertama kalinya.",joy
141,"ketika saya dihentikan oleh polisi pakaian biasa karena mobil yang saya kendarai telah terbalik di avenue. saya telah mengemudi terlalu cepat, dan saya takut ketika saya berhenti, ditanyai dan kemudian pergi untuk pergi. situasi berakhir dengan bahagia karena tidak ada konsekuensi.",fear
142,editor mengubah judul artikel yang saya tulis. á dia menganggap judul itu menghina orang yang telah kutulis á.,anger
143,"seorang kenalan dekat keluarga itu meninggal karena kanker paru-paru. although meskipun sudah diduga, saya masih merasa tertekan.",sadness
144,"ketika saya melihat gambar, di gothenburg post, tentang mobil yang benar-benar hancur dengan dua penumpang yang terluka parah. mobil itu á rusak parah sehingga mereka tidak bisa mengeluarkan mayat-mayat itu di lokasi kecelakaan.",disgust
145,suatu malam saya melakukan hubungan seksual dengan pria lain. hasrat seksual saya dan keingintahuan saya telah membuat saya melompat ke ranjang dengannya. saya malu pada diri saya sendiri sekarang.,shame
146,"karena malas, saya gagal menyelesaikan studi istilah sepenuhnya di universitas. saya juga ingin, sampai batas tertentu, memprotes harapan á orang tua saya.",guilt
147,ketika saya mendapat pinjaman untuk studi saya.,joy
148,saya bertemu orang-orang mabuk dengan niat meragukan di gang belakang pada suatu rabu malam.,fear
149,di t.v saya melihat fitur berita di afrika selatan. seorang polisi á menyerang sekelompok orang kulit hitam dengan cambuk.,anger
150,pikiran harus membaca buku membosankan 400 halaman dalam bahasa inggris.,sadness
151,orang yang merendahkan.,disgust
152,ketidakmampuan saya untuk menyatakan diri secara positif dalam suatu kelompok.,shame
153,saya mengalami perasaan bersalah karena saya tidak cukup belajar.,guilt
154,"mengamati seseorang di kantin dengan berisik menelan makanannya, á memiliki perilaku yang sangat buruk.",disgust
155,saya kira saya sering merasa malu setelah berbicara buruk tentang orang lain.,shame
156,sudah marah dan tidak menyenangkan terhadap orang tua saya.,guilt
157,ketika saudara perempuan saya - setelah satu riwayat aborsi dan satu kelahiran mati - melahirkan seorang anak laki-laki yang sangat sehat.,joy
158,"ketika saudara perempuan saya memiliki anak yang masih lahir, dia secara emosional sangat dalam, dan butuh waktu lama baginya untuk pulih.",fear
159,"kami memulai proyek siswa, dan guru yang kami ajak bicara á sangat negatif dan tidak terlalu membantu.",anger
160,"ketika pacar saya secara terbuka mengecewakan saya, lebih memilih gadis lain.",sadness
161,"saya merasa jijik untuk pacar saya selama beberapa waktu, setelah dia meninggalkan saya.",disgust
162,tidak bisa memikirkan apa pun.,shame
163,"sebelum kecelakaan, bibi saya menawari saya kursi depan mobil, ”di sebelah pengemudi. saya menolak, dia mengambil kursi itu dan terbunuh di sana ketika mobil itu jatuh.",guilt
164,"kunjungan tak terduga oleh seorang teman dekat, yang saya belum melihat selama setengah tahun.",joy
165,"saya mengembara secara tidak sengaja ke zona aman dari jarak tembak, á dan tertembak.",fear
166,diperlakukan tidak adil.,anger
167,putus dengan seorang gadis.,sadness
168,tidak ada.,disgust
169,tidak ada,shame
170,sedikit kontak dengan ayah saya sebelum dia meninggal.,guilt
171,"ketika saya diterima sebagai mahasiswa di kampus, tidak pernah berpikir itu mungkin.",joy
172,"ketika saya adalah orang pertama yang tiba di tempat kejadian setelah kecelakaan, á dan menemukan bahwa seorang teman sekolah yang dekat telah terbunuh.",fear
173,"saya dituduh telah melakukan sesuatu, yang tidak saya lakukan dan menjadi sangat marah.",anger
174,ketika nenek saya meninggal.,sadness
175,tak dapat diterapkan.,disgust
176,"beberapa tahun yang lalu selama liburan musim panas, saya sedang memancing di sebuah danau dengan suami saya. tiba-tiba hujan mulai turun sementara matahari masih bersinar. saya mengalami perasaan sukacita, kebahagiaan, dan kepuasan. seluruh alam penuh dengan musik.",joy
177,"saya sendirian di rumah, di tempat tidur membaca majalah wanita di mana á ada banyak pengalaman paranormal. kakiku terasa gatal dan aku meregangkan tanganku untuk menggaruk dan aku merasakan tangan aneh lainnya. (kemudian saya menyadari bahwa itu adalah sudut selimut á)",fear
178,"saya pergi ke kuliah dan sekali lagi dibatalkan, ini adalah yang kedua kalinya. seseorang memiliki sikap negatif terhadap á dosen",anger
179,"saya mendengar bahwa seorang mantan atasan saya telah meninggal, saya kemudian di rumah membaca tentang itu di koran dan saya memikirkan interaksi kami dan bagaimana itu tidak mungkin lagi. lingkup terbatas kehidupan manusia menyedihkan.",sadness
180,di trem ada seorang wanita gemuk dan tampak sakit-sakitan di depan saya - yang menanyakan arah dengan suara tebal. ketika dia bangun untuk pergi bau urin menjijikkan datang darinya. saya merasa bahwa saya akan tersedak.,disgust
181,"ketika kami berada di rumah, saya dan suami saya, dia berkomentar tentang sesuatu yang telah saya lakukan, dengan cara yang sangat ramah. perbuatan saya á tidak adil dan saya tahu bahwa suami saya benar, oleh karena itu á rasa malu saya.",shame
182,"saya memberi komentar kepada saudara perempuan saya tentang sikapnya terhadap laki-laki, cara dia berbicara dan saya membandingkannya dengan seorang kenalan saya. á kemudian, malam yang sama, saudara perempuan saya terlihat sedih. saya merasa bersalah karena kesedihannya.",guilt
183,"saya memiliki pekerjaan musim panas di swedia, dan pacar saya datang menemui saya di hari ulang tahun saya.",joy
184,"saya pergi berlatih di swedia selama musim panas, dan saya takut bahwa saya tidak akan berhasil.",fear
185,"di pondok liburan asosiasi kami, dua teman saya datang untuk membangunkan saya suatu pagi dengan membawa radio yang diputar di volume tertinggi ke kamar saya - itu adalah layanan pagi di paling keras.",anger
186,nenek saya meninggal mendadak pada musim panas lalu.,sadness
187,"atasan saya di pekerjaan musim panas menipu pelanggan sebanyak yang dia bisa, dan pernah menempatkan saya dalam situasi yang sulit setelah itu saya tidak bisa membencinya.",disgust
188,suatu kali saya tiba terlambat dua jam ke tempat kerja saya (bank) dan saya á masih merasa lemah dan lelah.,shame
189,asosiasi kami memiliki pengunjung polandia dan ketika mereka kembali á dengan perahu saya tidak pergi untuk mengantar mereka (saya adalah ketua asosiasi á).,guilt
190,"saya diberitahu secara tak terduga bahwa seseorang ingin saya menjadi á wakil ketua organisasi siswa kami. saya benar-benar terkejut dan sukacita adalah emosi pertama yang saya rasakan, meskipun di belakangnya ada kekhawatiran - bagaimana saya bisa berhasil?",joy
191,"grup tutorial kami akan segera dibagi, dan kami mendapat daftar nama-nama mahasiswa baru, dari yang lima berada di grup saya. kami membaca nama-nama dan kemudian masing-masing kelompok pergi sendiri ke ruang seminar. saya bertanya-tanya bagaimana saya akan mengatasi situasi baru dan jika á saya akan berhasil sebagai pemimpin kelompok.",fear
192,"kami berada di disko dan malam itu sama sekali tidak menyenangkan. á meskipun saya tidak tahu mengapa, saya marah dengan teman saya. saya membiarkan dia merasakan humor buruk saya karena saya tidak bisa menyembunyikan perasaan saya.",anger
193,"nenek saya meninggal, dan ibu saya memanggil saya pada suatu hari minggu pagi di musim gugur. cara ibuku memberitahuku tentang hal itu, aku membencinya pada saat itu. dia terdengar seperti sedang menunggu kematian nenekku. saya telah kehilangan seseorang yang dekat dengan saya. saya merasa bersalah juga karena saya tidak baik pada nenek saya belakangan ini. saya belum á tetap tenang ketika dia tidak lagi mengerti segalanya dengan baik.",sadness
194,"di stasiun bawah tanah, seorang pemabuk datang untuk berbicara kepada saya. dia mencoba bertanya sesuatu kepada saya tetapi saya tidak menjawab sehingga dia mulai berbicara tentang saya dengan temannya. saya membenci pria yang kotor ini.",disgust
195,"saya khawatir dengan tugas yang berkaitan dengan studi saya yang harus dilakukan dalam kelompok dua orang. saya berbicara tentang hal itu kepada teman-teman saya ketika á saya mengatakan sesuatu yang negatif, dengan cara yang terlalu tiba-tiba, mengenai rekan kerja saya. saya tidak bermaksud mengatakan apa yang saya katakan dan saya merasa malu telah cukup jahat untuk mengkritiknya karena dia juga seorang teman saya.",shame
196,saya telah memberi tahu pacar saya bahwa saya tidak ingin melanjutkan hubungan kami. saya tahu bahwa saya penting baginya tetapi saya ingin bebas. saya melihat bahwa ini sulit baginya tetapi saya tetap teguh dan tidak berubah pikiran.,guilt
198,"setelah mendengar tentang kematian kakek saya. pertama saya tidak bisa mempercayainya, tetapi kemudian saya menangis dan merasa situasinya tidak ada harapan. saya merasa kesepian dan ingin dihibur.",sadness
199,"di malam hari, ketika saya sedang menonton tv, adik laki-laki saya datang á masuk dan mulai makan makanan yang dia bawa dari dapur sementara á saya mencoba berkonsentrasi pada program.",disgust
200,adik laki-laki saya ditangkap oleh polisi di stasiun kereta api setelah dia minum bir.,shame
201,"di pekerjaan sementara saya, saya harus membatasi tindakan orang lain dan membuat mereka menaati saya, dan ini sering memberi saya perasaan bersalah. saya berharap ada cara lain untuk bertindak.",guilt
202,"saya bertemu dengan seorang teman baik saya setelah waktu yang lama. saya menyatakan perasaan saya á dengan cara kita sendiri yang biasa, dengan saling memarahi dan menyalahgunakan (dengan á pemahaman penuh) dan dengan menyentuh, menepuk dan mengambil á tangan orang lain, dll ...",joy
203,"saya merasa takut pada jenis yang paling murni setelah kecelakaan mobil. peristiwa á dan gambar-gambar horor terus kembali ke pikiran saya. saya bertanya-tanya apa yang bisa terjadi pada saudara perempuan saya, teman saya dan saya, meskipun tidak ada yang sangat serius yang sebenarnya terjadi.",fear
204,"dua bocah lelaki yang saya kenal memberi tahu saya, dengan cara yang tidak senonoh, bagaimana mereka menggoda seorang gadis muda dan pemalu yang saya kenal. mereka membenci á keyakinannya, mencibir dan menyentuhnya. saya menjadi sangat marah dan á tidak berusaha menyembunyikannya dan mengembalikannya kepada mereka.",anger
205,"kekasihku meninggalkanku, atau lebih tepatnya kami memutuskan untuk memutuskannya dengan persetujuan bersama. konsekuensinya adalah - tangisan yang tak terkendali, á perasaan kesepian, keputusasaan dan penghilangan semangat. saya merasa bahwa saya harus menemukan seorang teman, untuk berbicara dengan gembira dan melupakan.",sadness
206,"karena penasaran, saya pergi menonton film porno di kopenhagen. ruangan itu penuh dengan pria, yang terengah-engah dan masturbasi. sangat menjijikkan.",disgust
207,"setelah bertengkar tidak perlu dan tanpa alasan, dan á telah dengan bodohnya menyeberang dalam segala hal.",shame
209,terpaksa mengisi kuesioner.,guilt
210,ketika saya memenangkan pertandingan tenis.,joy
211,ketika anjing saya kehabisan es tipis musim semi lalu.,fear
212,ketika pertandingan tenis saya terganggu karena seorang anak bersepeda ke dalam lapangan.,anger
217,perayaan pada hari kelulusan dengan orkestra bermain di taman (saya adalah bagian dari orkestra ini).,joy
218,risiko terlibat dalam perkelahian setelah pesta.,fear
219,setelah ujian saya gagal.,sadness
221,"ketika saya menyalip sebuah mobil di jalan utama, salah menilai jarak á mobil yang melaju dan ini mengakibatkan membunyikan dan berkedip dari flashing pengemudi lain (kita bisa bertabrakan), dan saya memiliki kenalan di mobil dengan saya.",shame
222,"saya melihat seorang tetangga, dari blok apartemen yang sama dengan saya, terbaring di jalan. dia bisa saja terluka atau sakit. saya menyimpan 20 meter jauhnya dan tidak pergi untuk membantunya.",guilt
223,ketika saya bertemu dengan seorang teman sekolah lama (cinta sekolah) yang bekerja di á sk + vde.,joy
224,"ketika saya bersepeda ke sekolah, saya hampir saja tertabrak mobil - yang (terlalu dekat dengan saya) tidak memberi saya ruang berbelok.",fear
225,"ketika saya menjadi wakil manajer selama musim panas, beberapa deputi á mengambil kebebasan, lebih dari yang normal.",anger
226,"ketika saya menyadari bahwa pacar saya, yang saya sukai, dan saya akan berpisah.",sadness
227,kotoran anjing yang mencair di musim semi.,disgust
228,ketika aku lupa hari ulang tahun ibuku.,shame
230,lulus ujian terakhir.,joy
231,hampir dirobohkan oleh mobil.,fear
232,saya mencapai halte bus dan menyadari bahwa saya lupa bus saya pass pass.,anger
233,beban kerja saya saat ini terlalu banyak. perasaan itu muncul kembali dari waktu ke waktu.,sadness
237,ketika putra saya yang berumur satu tahun memberi saya ciuman spontan.,joy
238,ketika seseorang yang dekat dengan saya bepergian dengan mobil dan tertunda.,fear
239,ketika seseorang melakukan sesuatu yang salah yang mempengaruhi saya secara negatif.,anger
240,ketika saya berpikir tentang orang tua saya yang semakin tua.,sadness
243,"saya tidak punya waktu untuk masalah orang lain. ibu mertua saya kadang tertekan dan saya tidak punya waktu, keinginan atau kekuatan untuk membantu.",guilt
244,saya sedang mengemudi dan seekor rusa tiba-tiba muncul di depan mobil ketika ada banyak lalu lintas di belakang saya.,fear
245,saya melihat laporan berita t.v tentang apartheid di afrika selatan.,anger
250,saat pacar saya hamil.,joy
251,ketika saya hampir bertabrakan dengan mobil lain.,fear
252,waktu ketika seseorang membiarkan udara keluar dari ban siklus saya.,anger
253,ketika saya banyak membaca dan tidak ingat apa-apa.,sadness
